GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P009001,P009001.2000,P009002,P009002.2000,P009003,P009003.2000,P009004,P009004.2000,P009005,P009005.2000,P009006,P009006.2000,P009007,P009007.2000,P009008,P009008.2000,P009009,P009009.2000,P009010,P009010.2000,P009011,P009011.2000,P009012,P009012.2000,P009013,P009013.2000,P009014,P009014.2000,P009015,P009015.2000,P009016,P009016.2000,P009017,P009017.2000,P009018,P009018.2000,P009019,P009019.2000,P009020,P009020.2000,P009021,P009021.2000,P009022,P009022.2000,P009023,P009023.2000,P009024,P009024.2000,P009025,P009025.2000,P009026,P009026.2000,P009027,P009027.2000,P009028,P009028.2000,P009029,P009029.2000,P009030,P009030.2000,P009031,P009031.2000,P009032,P009032.2000,P009033,P009033.2000,P009034,P009034.2000,P009035,P009035.2000,P009036,P009036.2000,P009037,P009037.2000,P009038,P009038.2000,P009039,P009039.2000,P009040,P009040.2000,P009041,P009041.2000,P009042,P009042.2000,P009043,P009043.2000,P009044,P009044.2000,P009045,P009045.2000,P009046,P009046.2000,P009047,P009047.2000,P009048,P009048.2000,P009049,P009049.2000,P009050,P009050.2000,P009051,P009051.2000,P009052,P009052.2000,P009053,P009053.2000,P009054,P009054.2000,P009055,P009055.2000,P009056,P009056.2000,P009057,P009057.2000,P009058,P009058.2000,P009059,P009059.2000,P009060,P009060.2000,P009061,P009061.2000,P009062,P009062.2000,P009063,P009063.2000,P009064,P009064.2000,P009065,P009065.2000,P009066,P009066.2000,P009067,P009067.2000,P009068,P009068.2000,P009069,P009069.2000,P009070,P009070.2000,P009071,P009071.2000,P009072,P009072.2000,P009073,P009073.2000
17031811701,140,17,031,16980,176,,,Census Tract 8117.01,3858,1186,4694,1323,3858,4694,2627,2954,1231,1740,1196,1707,1019,1444,30,38,3,5,135,217,9,2,0,1,35,33,32,30,3,4,1,9,1,1,0,0,0,11,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,23,2,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17031811900,140,17,031,16980,176,,,Census Tract 8119,5738,1917,6037,1945,5738,6037,411,264,5327,5773,5242,5711,4557,5175,409,336,0,3,252,186,2,5,22,6,85,62,77,60,20,12,9,6,39,26,1,0,1,6,4,8,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,8,1,3,1,1,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17031812000,140,17,031,16980,176,,,Census Tract 8120,5434,2259,5598,2287,5434,5598,259,202,5175,5396,5090,5322,4493,4909,324,217,4,6,253,176,0,0,16,14,85,74,77,72,21,11,5,7,38,27,0,0,0,19,6,2,0,0,0,0,2,0,0,2,0,0,0,0,2,0,3,4,0,0,4,2,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17031812100,140,17,031,16980,176,,,Census Tract 8121,4560,1765,4855,1771,4560,4855,261,174,4299,4681,4130,4549,2531,2653,1423,1714,9,6,147,143,0,1,20,32,169,132,154,118,64,55,4,7,47,19,1,0,0,12,15,8,14,4,0,0,7,13,0,0,0,0,0,0,0,0,1,0,1,0,15,13,10,9,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17031812200,140,17,031,16980,176,,,Census Tract 8122,3942,1405,3969,1401,3942,3969,190,169,3752,3800,3649,3742,2977,3132,502,465,1,0,157,135,0,0,12,10,103,58,99,44,33,16,5,1,56,20,0,0,1,1,2,0,2,3,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,4,13,3,9,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17031812301,140,17,031,16980,176,,,Census Tract 8123.01,3972,2638,3731,2441,3972,3731,277,159,3695,3572,3620,3495,2533,2758,699,508,1,1,382,215,0,2,5,9,75,76,72,71,20,18,6,5,25,25,0,1,2,13,8,2,6,0,1,0,0,1,0,0,0,0,0,1,0,0,4,1,0,0,3,4,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17031812302,140,17,031,16980,176,,,Census Tract 8123.02,2818,1115,2646,1031,2818,2646,197,112,2621,2533,2559,2480,2008,1956,422,360,1,1,119,153,1,1,8,6,62,53,61,51,23,12,1,3,26,17,0,1,2,9,1,2,6,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17031812400,140,17,031,16980,176,,,Census Tract 8124,3491,1263,3431,1237,3491,3431,137,96,3354,3335,3276,3277,2915,2950,241,238,1,0,114,83,0,1,5,5,78,58,74,53,29,27,4,0,22,22,1,0,3,3,3,0,1,0,0,1,0,0,0,0,0,0,0,0,4,0,7,0,0,0,4,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17031812500,140,17,031,16980,176,,,Census Tract 8125,3375,1787,3613,1822,3375,3613,192,107,3183,3506,3070,3432,1790,2118,1158,1221,8,1,109,82,1,1,4,9,113,74,100,65,40,31,9,2,25,12,0,0,4,5,14,3,3,3,0,0,0,8,1,0,0,0,1,0,0,1,3,0,0,0,13,6,6,6,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
17031812600,140,17,031,16980,176,,,Census Tract 8126,3706,2018,3753,1948,3706,3753,282,175,3424,3578,3322,3500,1870,2004,1276,1334,7,6,145,137,2,1,22,18,102,78,86,77,40,36,7,6,22,9,0,0,2,15,9,5,3,1,1,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,15,1,11,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
