GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P001001,P001001.2000
17031610800,140,17,031,16980,176,,,Census Tract 6108,1393,618,1570,622,1393,1570
17031611000,140,17,031,16980,176,,,Census Tract 6110,1098,405,1386,412,1098,1386
17031611200,140,17,031,16980,176,,,Census Tract 6112,2824,915,3368,892,2824,3368
17031611600,140,17,031,16980,176,,,Census Tract 6116,1609,585,2115,620,1609,2115
17031611700,140,17,031,16980,176,,,Census Tract 6117,1990,759,2816,886,1990,2816
17031611800,140,17,031,16980,176,,,Census Tract 6118,2139,874,2557,944,2139,2557
17031611900,140,17,031,16980,176,,,Census Tract 6119,2045,861,2597,869,2045,2597
17031620100,140,17,031,16980,176,,,Census Tract 6201,4289,1180,3627,1115,4289,3627
17031620200,140,17,031,16980,176,,,Census Tract 6202,2223,768,2187,907,2223,2187
17031620300,140,17,031,16980,176,,,Census Tract 6203,6399,2006,5519,1982,6399,5519
17031620400,140,17,031,16980,176,,,Census Tract 6204,5198,1318,4588,1329,5198,4588
17031630200,140,17,031,16980,176,,,Census Tract 6302,1931,597,2033,594,1931,2033
17031630300,140,17,031,16980,176,,,Census Tract 6303,5521,1377,5109,1372,5521,5109
17031630500,140,17,031,16980,176,,,Census Tract 6305,6364,1645,6420,1568,6364,6420
17031630800,140,17,031,16980,176,,,Census Tract 6308,7107,1745,6797,1756,7107,6797
17031630900,140,17,031,16980,176,,,Census Tract 6309,5363,1343,5243,1386,5363,5243
17031640300,140,17,031,16980,176,,,Census Tract 6403,6463,2423,6076,2376,6463,6076
17031640400,140,17,031,16980,176,,,Census Tract 6404,3190,1263,3163,1240,3190,3163
17031640500,140,17,031,16980,176,,,Census Tract 6405,3491,1558,3202,1426,3491,3202
17031640600,140,17,031,16980,176,,,Census Tract 6406,3912,1720,3862,1722,3912,3862
17031640700,140,17,031,16980,176,,,Census Tract 6407,3156,1087,3159,1131,3156,3159
17031640800,140,17,031,16980,176,,,Census Tract 6408,1716,533,1622,530,1716,1622
17031650100,140,17,031,16980,176,,,Census Tract 6501,4816,1293,4417,1330,4816,4417
17031650200,140,17,031,16980,176,,,Census Tract 6502,7320,2188,6354,2138,7320,6354
17031650301,140,17,031,16980,176,,,Census Tract 6503.01,5711,1572,5215,1611,5711,5215
17031650302,140,17,031,16980,176,,,Census Tract 6503.02,4344,1105,3967,1133,4344,3967
17031650400,140,17,031,16980,176,,,Census Tract 6504,6743,1687,5695,1717,6743,5695
17031650500,140,17,031,16980,176,,,Census Tract 6505,4421,1517,3586,1322,4421,3586
17031660302,140,17,031,16980,176,,,Census Tract 6603.02,5527,1572,6276,1567,5527,6276
17031660400,140,17,031,16980,176,,,Census Tract 6604,5960,1514,5660,1567,5960,5660
17031660500,140,17,031,16980,176,,,Census Tract 6605,5534,1432,5356,1491,5534,5356
17031660600,140,17,031,16980,176,,,Census Tract 6606,6333,2343,7505,2292,6333,7505
17031660700,140,17,031,16980,176,,,Census Tract 6607,2366,725,2682,766,2366,2682
17031660900,140,17,031,16980,176,,,Census Tract 6609,4232,1794,5402,1845,4232,5402
17031661100,140,17,031,16980,176,,,Census Tract 6611,6542,1928,6277,1942,6542,6277
17031670500,140,17,031,16980,176,,,Census Tract 6705,1321,450,1632,479,1321,1632
